,section,row,price,quantity
116,304,15,88.0,2
117,BAL307,9,88.13,11
118,BAL318,15,89.0,3
119,Balcony Side 314,8,89.0,2
120,Balcony End 313,15,89.0,2
121,Balcony End 319,9,89.0,2
122,Balcony Side 316,15,89.89,2
123,330,11,90.0,4
124,307,14,90.0,2
125,325,7,90.0,2
126,Balcony End 312,4,90.0,2
127,Balcony End 313,8,90.0,2
128,310,10,90.0,2
129,301,13,90.0,2
130,BAL324,9,90.0,2
131,Balcony Side 317,12,90.0,2
132,307,10,90.0,12
133,BAL315,15,90.0,3
134,Balcony End 312,10,91.0,2
135,BAL317,11,91.08,2
136,BAL321,9,91.49,8
137,BAL321,10,91.49,4
138,Balcony End 308,9,91.75,2
139,BAL328,13,91.8,4
140,BAL310,8,91.88,6
141,Balcony End 311,4,92.0,2
142,BAL310,9,92.0,6
143,BAL308,14,92.56,1
144,BAL319,6,93.0,2
145,322,13,93.0,6
146,BAL305,15,93.0,3
147,BAL310,8,93.75,2
148,BAL313,9,94.0,3
149,BAL308,9,94.52,10
150,BAL308,9,94.52,6
151,BAL309,8,94.52,10
152,Balcony Side 314,11,94.89,5
153,Balcony Side 317,7,95.0,2
154,Balcony End 312,7,95.0,2
155,Balcony End 322,6,95.0,2
156,Balcony End 309,4,95.0,2
157,Balcony End 308,4,95.0,2
158,Balcony End 312,15,95.0,3
159,Balcony End 310,7,95.0,4
160,BAL307,8,95.63,4
161,PROMENADE S19,1,95.88,2
162,BAL317,13,96.95,2
163,BAL303,13,96.96,3
164,BAL310,8,97.5,2
165,balcony side 303,15,98.99,2
166,BAL316,13,99.0,8
167,Balcony End 310,13,99.0,4
168,Balcony End 325,2,99.0,4
169,313,6,99.0,3
170,Balcony Side 316,10,99.0,2
171,Balcony Side 315,11,99.0,2
172,313,13,99.0,4
173,BAL311,8,99.38,2
174,Balcony Side 330,7,100.0,2
175,Balcony Side 329,7,100.0,2
176,Balcony End 322,12,100.0,2
177,330,13,100.0,4
178,Balcony Side 316,8,100.0,2
179,330,9,100.88,2
180,BAL317,12,100.9,7
181,308,10,101.0,2
182,BAL311,8,101.25,2
183,BAL323,9,102.0,2
184,BAL314,12,102.88,2
185,BAL329,7,103.0,2
186,BAL329,12,103.0,4
187,BAL305,13,103.0,4
188,311,4,103.01,2
189,BAL322,7,103.13,4
190,BAL309,4,103.38,2
191,BAL313,15,103.38,2
